feature,agg_auc,keep
delta_v,0.5189594247985754,True
delta_v_ma_5,0.5401503312282386,True
difference,0.5417945360875315,True
sign_delta_open,0.5420892942575879,True
c_minus_o,0.5434883437302496,True
daily_return,0.5444224967731507,True
ret_lag_0,0.5444224967731507,True
delta_c,0.5448133512977121,True
ret_lag_1,0.5451759564477927,True
ret_lag_5,0.5453981591080744,True
ret_lag_2,0.5454252327433858,True
ret_lag_3,0.5457594137928482,True
delta_v_ma_10,0.5650523273395189,True
delta_v_ma_20,0.5956074915763518,True
delta_c_ma_5,0.5987205113375388,True
intraday_ma_5,0.6063315784711083,True
williams_r,0.6302822023914035,True
delta_c_ma_10,0.6348069175565588,True
momentum,0.6348069175565588,True
rsi,0.6486471947876199,True
intraday_ma_10,0.6522864953507035,True
delta_c_ma_20,0.6765446622337545,True
intraday_ma_20,0.6997732798852111,True
amplitude,0.7115133891765687,False
macd,0.7264908351329928,False
h_minus_l,0.7419475761039156,False
bb_low,0.9607762350930995,False
ma_5,0.9619493923603891,False
ema_5,0.9627748481620833,False
ma_10,0.9638968282840085,False
ema_10,0.9652995381769887,False
ma_20,0.9674588975038504,False
bb_high,0.9686469222204882,False
ema_20,0.9696596531640255,False
ma_60,0.9765911289521263,False
ema_60,0.9783930375016893,False
